reaction formula	model.dG0	dG0_prime	dGm_prime	dG0_std
glx_c + h_c + nadph_c --> glyclt_c + nadp_c	-67.9864380503	-22.0235160562	-22.0235160562	0.963789276767
glyclt_p + h_p <=> glyclt_c + h_c	0.0	0.0	0.0	0.0
glyclt_p + na1_p --> glyclt_c + na1_c	0.0	0.0	0.0	0.0
glyclt_e <=> glyclt_p	0.0	0.0	0.0	0.0
glyclt_c + q8_c --> glx_c + q8h2_c	nan	nan	nan	0.0
glyclt_c + mqn8_c --> glx_c + mql8_c	nan	nan	nan	0.0
2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c	nan	nan	nan	0.0
glyc_e <=> glyc_p	0.0	0.0	0.0	0.0
glyc_c <=> glyc_p	0.0	0.0	0.0	0.0
atp_c + glyc_c --> adp_c + glyc3p_c + h_c	24.4401503703	-15.8815385091	-15.8815385091	1.11098227219
h2o_c + lgt__S_c --> gthrd_c + h_c + lac__D_c	nan	nan	nan	0.0
h2o_c + mthgxl_c --> h_c + lac__D_c	nan	nan	nan	0.0
atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c	nan	nan	nan	0.0
gly_p + h_p --> gly_c + h_c	0.0	0.0	0.0	0.0
gly_p + na1_p --> gly_c + na1_c	0.0	0.0	0.0	0.0
gly_e <=> gly_p	0.0	0.0	0.0	0.0
gdpmann_c --> gdpddman_c + h2o_c	nan	nan	nan	0.0
atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c	nan	nan	nan	0.0
atp_c + gmhep7p_c --> adp_c + gmhep17bp_c + h_c	nan	nan	nan	0.0
gmhep17bp_c + h2o_c --> gmhep1p_c + pi_c	nan	nan	nan	0.0
gmp_c + 2.0 h_c + nadph_c --> imp_c + nadp_c + nh4_c	nan	nan	nan	0.0
atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c	nan	nan	nan	0.0
gmp_e <=> gmp_p	0.0	0.0	0.0	0.0
6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c	nan	nan	nan	0.0
atp_c + glcn_c --> 6pgc_c + adp_c + h_c	24.4401503703	-18.2805121391	-18.2805121391	1.11098227219
gdpofuc_c + h_c + nadph_c --> gdpfuc_c + nadp_c	-51.1910925992	-5.22777967718	-5.22777967718	2.42447303445
gp4g_c + h2o_c --> 2.0 gdp_c + 2.0 h_c	nan	nan	nan	0.0
g3pc_c + h2o_c --> chol_c + glyc3p_c + h_c	nan	nan	nan	0.0
g3pc_p + h2o_p --> chol_p + glyc3p_p + h_p	nan	nan	nan	0.0
g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c	nan	nan	nan	0.0
g3pe_p + h2o_p --> etha_p + glyc3p_p + h_p	nan	nan	nan	0.0
g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c	nan	nan	nan	0.0
g3ps_p + h2o_p --> glyc3p_p + h_p + ser__L_p	nan	nan	nan	0.0
g3pg_c + h2o_c --> glyc3p_c + glyc_c + h_c	nan	nan	nan	0.0
g3pg_p + h2o_p --> glyc3p_p + glyc_p + h_p	nan	nan	nan	0.0
g3pi_c + h2o_c --> glyc3p_c + h_c + inost_c	nan	nan	nan	0.0
g3pi_p + h2o_p --> glyc3p_p + h_p + inost_p	nan	nan	nan	0.0
grdp_c + ipdp_c --> frdp_c + ppi_c	nan	nan	nan	0.0
grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c	nan	nan	nan	0.0
atp_c + gsn_c --> adp_c + gmp_c + h_c	24.4401503703	-15.7076126519	-15.7076126519	1.11098227219
gsn_p + h_p --> gsn_c + h_c	0.0	0.0	0.0	0.0
gsn_e <=> gsn_p	0.0	0.0	0.0	0.0
gtspmd_c + h2o_c --> gthrd_c + spmd_c	nan	nan	nan	0.0
atp_c + gthrd_c + spmd_c --> adp_c + gtspmd_c + h_c + pi_c	nan	nan	nan	0.0
gthox_e <=> gthox_p	0.0	0.0	0.0	0.0
gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c	nan	nan	nan	0.0
gthrd_p + h2o_p --> cgly_p + glu__L_p	nan	nan	nan	0.0
atp_c + gthrd_c + h2o_c --> adp_c + gthrd_p + h_c + pi_c	nan	nan	nan	0.0
atp_c + gthrd_p + h2o_c --> adp_c + gthrd_c + h_c + pi_c	nan	nan	nan	0.0
gthrd_e <=> gthrd_p	nan	nan	nan	0.0
atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c	nan	nan	nan	0.0
gtp_c + h2o_c --> ahdt_c + for_c + h_c	nan	nan	nan	0.0
